OFL_ISOLATE_ID,OFL_SEQUENCE_ID,NAME,TYPE,H5_CLADE,PASSAGE,COLLECT_DATE,HOST,LOCATION,NOTES,UPDATE_DATE,IS_PUBLIC
OFL_ISL_12076,HA: OFL145396 / NA: OFL117101,A/Victoria/110/2004,A / H3N2,,,2004-07-14,Human,Australia / Victoria,,,yes
OFL_ISL_21139,HA: OFL117459,A/Victoria/110/2004,A / H3N2,,X,2004-07-14,Human,Australia / Victoria,,,yes
OFL_ISL_89023,HA: OFL372887,A/Victoria/110/2004,A / H3N2,,"X,MDCK3",2004-07-14,Human,Australia / Victoria,,,yes
OFL_ISL_105611,HA: OFL450092 / NA: OFL450094 / MP: OFL450093 / NP: OFL450095 / NS: OFL450096 / PA: OFL450097 / PB1: OFL450098 / PB2: OFL450099,A/Victoria/210/2009,A / H3N2,,Egg,2009-06-02,Human,Australia / Victoria,,,yes
OFL_ISL_114829,HA: OFL486091,A/Victoria/210/2009,A / H3N2,,,2009-06-02,Human,Australia / Victoria,,,yes
OFL_ISL_12069,HA: OFL117079,A/Victoria/500/2004,A / H3N2,,E6,2004-08-13,Human,Australia / Victoria,,,yes
OFL_ISL_21252,HA: OFL145401,A/Victoria/500/2004,A / H3N2,,,2004-08-13,Human,Australia / Victoria,,,yes
OFL_ISL_13265,HA: OFL123558,A/Victoria/503/2006,A / H3N2,,MDCKX,2006-06-13,Human,Australia / Victoria,,,yes
OFL_ISL_21275,HA: OFL145912,A/Victoria/503/2006,A / H3N2,,,2006-06-13,Human,Australia / Victoria,,,yes
OFL_ISL_12064,HA: OFL117069,A/Victoria/523/2004,A / H3N2,,MDCKX,2004-11-03,Human,Australia / Victoria / Springvale,,,yes
OFL_ISL_89028,HA: OFL372892,A/Victoria/523/2004,A / H3N2,,E6,2004-11-03,Human,Australia / Victoria,,,yes
OFL_ISL_17572,HA: OFL145666,A/WISCONSIN/68/2005,A / H3N2,,,2005-10-19,Human,USA / Wisconsin state,,,yes
OFL_ISL_11522,HA: OFL115503 / NA: OFL116180,A/Washington/1/2004,A / H3N2,,M1/C1,2004-10-14,Human,USA / Washington state / King County,,,yes
OFL_ISL_5472,HA: OFL36175 / NA: OFL36180 / MP: OFL36177 / NP: OFL36182 / NS: OFL36184 / PA: OFL36187 / PB1: OFL36189 / PB2: OFL36192,A/Wellington/1/2004,A / H3N2,,MDCK,2004-01-26,Human,New Zealand / Wellington,,,yes
OFL_ISL_21108,HA: OFL116871,A/Wellington/1/2004,A / H3N2,,MDCKX,2004-01-26,Human,New Zealand / Wellington,,,yes
OFL_ISL_76758,HA: OFL333554 / NA: OFL333553 / MP: OFL333552,A/Wisconsin/13/2010,A / H3N2,,,2010-10-23,Human,USA / Wisconsin state,,,yes
OFL_ISL_74962,HA: OFL326715 / HA: OFL326683 / HA: OFL326682 / HA: OFL326664 / NA: OFL326714 / NA: OFL326684 / NA: OFL326681 / NA: OFL326663 / MP: OFL326685 / MP: OFL326713 / MP: OFL326680 / MP: OFL326662,A/Wisconsin/15/2009,A / H3N2,,,2009-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_105609,HA: OFL450056 / NA: OFL450058 / NA: OFL450059 / MP: OFL450057 / NP: OFL450060 / NS: OFL450061 / PA: OFL450062 / PB1: OFL450064 / PB1: OFL450063 / PB2: OFL450066 / PB2: OFL450065,A/Wisconsin/15/2009,A / H3N2,,Egg,2009-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_11829,NA: OFL116188,A/Wisconsin/19/2004,A / H3N2,,Spfck2E3,2004-11-06,Human,USA / Wisconsin state,,,yes
OFL_ISL_21255,HA: OFL145411,A/Wisconsin/19/2004,A / H3N2,,,2004-11-06,Human,USA / Wisconsin state,,,yes
OFL_ISL_10430,HA: OFL353231 / HA: OFL353239 / HA: OFL353247 / HA: OFL353159 / HA: OFL353167 / HA: OFL353175 / HA: OFL353183 / HA: OFL353191 / HA: OFL353199 / HA: OFL353207 / HA: OFL353215 / HA: OFL353095 / HA: OFL353103 / HA: OFL353111 / HA: OFL353119 / HA: OFL353127 /,A/Wisconsin/67/2005,A / H3N2,,,2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_21065,NA: OFL116640,A/Wisconsin/67/2005,A / H3N2,,SPFCK3E2,2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_21089,HA: OFL115675 / MP: OFL123056,A/Wisconsin/67/2005,A / H3N2,,spfCK3E2,2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_21213,HA: OFL153021 / MP: OFL153022,A/Wisconsin/67/2005,A / H3N2,,"SPFCK3,E4",2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_35703,NP: OFL196221 / PA: OFL196248,A/Wisconsin/67/2005,A / H3N2,,"SPFCK3,E3",2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_89033,HA: OFL372897,A/Wisconsin/67/2005,A / H3N2,,"CK3,E6",2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_108821,HA: OFL468780 / NA: OFL468782 / MP: OFL468781 / NP: OFL468783 / NS: OFL468784 / PA: OFL468785 / PB1: OFL468786 / PB2: OFL468787,A/Wisconsin/67/2005,A / H3N2,,xMDCK2,2005-00-00,Human,USA / Wisconsin state,,,yes
OFL_ISL_11779,HA: OFL116028,A/Wyoming/2/2003,A / H3N,,x1/c2,2003-00-00,Human,USA / Wyoming state,,,yes
OFL_ISL_11834,NA: OFL116198,A/Wyoming/3/2003,A / H3N2,,,2003-00-00,Laboratory derived,USA / Wyoming state,,,yes
