"nll","delAIC","modname","parname","value","low","high"
3223.19951890469,10.946593357351,"AUVS","rPro.H3",0.990602161248446,0.825,1.2
3225.22247514289,12.9925058337594,"AVG","rPro.H3",0.936830533571857,0.79,1.2
3223.12021853079,8.78799260954838,"AVN","rPro.H3",0.939622018108352,0.71,1.29
3223.20058591738,8.9487273827217,"AVS","rPro.H3",0.990747423507649,0.825,1.2
3230.81848321595,16.1845219798797,"A","r18.24",0.983684153127073,0.87,1.12
3230.31294508437,19.1734457167076,"AG","r18.24",0.986127572940336,0.87,1.125
3227.73803699954,14.0236295470422,"AN","r18.24",0.976544266822211,0.86,1.115
3227.8174745713,14.1825046905788,"AS","r18.24",0.972257971339743,0.86,1.11
3226.05884642953,8.66524840702732,"AT","r18.24",0.980726816869952,0.865,1.12
3225.39955816839,11.3466718847449,"ATG","r18.24",0.982072871317117,0.865,1.12
3222.80851033499,6.16457621794689,"ATN","r18.24",0.974817233113392,0.86,1.115
3222.92381575422,6.39518705641967,"ATS","r18.24",0.96960127429954,0.855,1.105
3226.00654695918,10.5606494663298,"ATU","r18.24",0.977480837112497,0.86,1.115
3225.34019665154,13.2279488510421,"ATUG","r18.24",0.978270429007484,0.86,1.12
3222.7782049096,8.10396536716235,"ATUN","r18.24",0.972335931937263,0.855,1.115
3222.8929491361,8.33345382016705,"ATUS","r18.24",0.967196784297777,0.85,1.105
3220.20646646024,2.96048846845497,"ATUV","r18.24",0.960048972036385,0.845,1.095
3219.84879650222,6.24514855240159,"ATUVG","r18.24",0.961665214624358,0.845,1.1
3217.72477824585,1.99711203967854,"ATUVN","r18.24",0.956053371351659,0.84,1.095
3217.84883284251,2.24522123298266,"ATUVS","r18.24",0.95065378412406,0.835,1.09
3220.21471668702,0.976988922012424,"ATV","r18.24",0.961238466092919,0.85,1.095
3219.85771241926,4.26298038649384,"ATVG","r18.24",0.963093519515654,0.85,1.1
3217.72622222602,0,"ATVN","r18.24",0.956650169933337,0.84,1.095
3217.8502927543,0.248141056563327,"ATVS","r18.24",0.951106641586531,0.84,1.085
3230.79471042321,18.1369763943858,"AU","r18.24",0.981464702381639,0.865,1.12
3230.28639205487,21.120339657703,"AUG","r18.24",0.983641494113573,0.865,1.125
3227.7278074162,16.0031703803797,"AUN","r18.24",0.975098814872295,0.86,1.115
3227.8070487018,16.1616529515668,"AUS","r18.24",0.971036389722236,0.855,1.11
3225.49782909501,11.5432137379812,"AUV","r18.24",0.964499882670219,0.85,1.105
3225.22217369134,14.9919029306475,"AUVG","r18.24",0.967520822186529,0.85,1.105
3223.11915050076,10.7858565494807,"AUVN","r18.24",0.959371146473779,0.845,1.1
3223.19951890469,10.946593357351,"AUVS","r18.24",0.954872534712344,0.84,1.095
3225.49817944616,9.54391444028261,"AV","r18.24",0.964767756854561,0.85,1.1
3225.22247514289,12.9925058337594,"AVG","r18.24",0.967790740618958,0.855,1.105
